info,info_values,time,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp
,,2022-01-01 00:00:00,15.42,0.0,0.0,0.0,310.14,1.86,71.54,97929.0
,,2022-01-01 01:00:00,14.51,0.0,0.0,0.0,307.43,1.6,74.99,97900.0
,,2022-01-01 02:00:00,13.59,0.0,0.0,0.0,304.71,1.35,78.44,97842.0
,,2022-01-01 03:00:00,12.67,0.0,0.0,0.0,302.0,1.09,81.89,97823.0
,,2022-01-01 04:00:00,11.75,0.0,0.0,0.0,299.29,0.83,85.34,97794.0
,,2022-01-01 05:00:00,12.5,0.0,0.0,0.0,297.2,0.9,78.2,97756.0
,,2022-01-01 06:00:00,12.6,0.0,0.0,0.0,303.2,0.83,77.6,97765.0
,,2022-01-01 07:00:00,12.38,53.05,0.0,53.05,291.4,0.83,79.0,97785.0
,,2022-01-01 08:00:00,14.45,333.8,1060.44,65.65,290.2,0.69,68.1,97804.0
,,2022-01-01 09:00:00,17.16,562.3,1077.53,76.95,298.8,1.24,56.85,97804.0
,,2022-01-01 10:00:00,19.34,771.7,1085.42,85.8,307.0,2.07,50.05,97756.0
,,2022-01-01 11:00:00,21.13,944.1,1085.07,92.35,314.2,2.55,44.0,97707.0
,,2022-01-01 12:00:00,22.8,1067.2,1080.68,95.5,320.0,3.03,38.4,97707.0
,,2022-01-01 13:00:00,24.23,1119.7,1059.7,95.3,325.0,3.31,34.1,97669.0
,,2022-01-01 14:00:00,25.21,1112.3,1035.9,94.05,328.8,3.59,31.75,97669.0
,,2022-01-01 15:00:00,25.66,1032.85,994.85,90.85,331.2,3.79,30.75,97640.0
,,2022-01-01 16:00:00,24.88,891.95,933.63,88.2,332.0,3.72,34.05,97601.0
,,2022-01-01 17:00:00,23.85,706.0,857.49,79.3,329.6,3.66,37.1,97592.0
,,2022-01-01 18:00:00,22.64,488.3,738.72,70.45,326.0,3.24,40.65,97553.0
,,2022-01-01 19:00:00,21.52,255.2,530.94,55.3,321.4,2.62,44.2,97524.0
,,2022-01-01 20:00:00,20.15,57.9,215.51,19.9,317.0,2.0,48.9,97524.0
,,2022-01-01 21:00:00,18.49,0.0,0.0,0.0,311.0,1.17,55.4,97592.0
,,2022-01-01 22:00:00,17.46,0.0,0.0,0.0,307.4,0.76,60.45,97601.0
,,2022-01-01 23:00:00,16.81,0.0,0.0,0.0,305.8,0.34,63.85,97611.0
,,2022-01-02 00:00:00,16.39,0.0,0.0,0.0,306.0,0.48,66.0,97601.0
,,2022-01-02 01:00:00,15.85,0.0,0.0,0.0,306.6,0.83,68.1,97543.0
,,2022-01-02 02:00:00,15.63,0.0,0.0,0.0,306.2,0.9,68.65,97505.0
,,2022-01-02 03:00:00,15.65,0.0,0.0,0.0,306.0,0.83,68.05,97466.0
,,2022-01-02 04:00:00,14.67,0.0,0.0,0.0,302.2,0.9,70.15,97457.0
,,2022-01-02 05:00:00,14.6,0.0,0.0,0.0,302.2,0.97,69.15,97447.0
,,2022-01-02 06:00:00,14.32,0.0,0.0,0.0,301.8,1.1,69.0,97486.0
,,2022-01-02 07:00:00,14.16,51.31,0.0,51.31,301.4,1.17,68.6,97515.0
,,2022-01-02 08:00:00,16.54,329.35,1066.09,62.15,304.6,0.48,61.35,97543.0
,,2022-01-02 09:00:00,20.23,550.5,1037.93,85.1,312.6,0.55,45.1,97582.0
,,2022-01-02 10:00:00,22.54,759.8,1063.53,89.6,323.0,1.31,40.45,97563.0
,,2022-01-02 11:00:00,24.1,930.5,1064.87,96.1,330.0,2.0,38.45,97543.0
,,2022-01-02 12:00:00,25.14,1050.25,1063.75,94.85,336.4,2.62,37.45,97592.0
,,2022-01-02 13:00:00,25.82,1108.05,1048.97,94.65,341.0,2.97,36.8,97621.0
,,2022-01-02 14:00:00,26.19,1097.65,1020.64,94.6,344.0,3.17,36.6,97611.0
,,2022-01-02 15:00:00,26.27,1023.45,985.49,90.15,345.4,3.24,36.75,97611.0
,,2022-01-02 16:00:00,25.42,893.1,937.89,85.25,341.8,3.03,38.65,97601.0
,,2022-01-02 17:00:00,24.99,699.7,843.64,82.55,339.2,2.9,39.6,97592.0
,,2022-01-02 18:00:00,24.13,486.3,733.97,70.55,335.6,2.48,41.65,97543.0
,,2022-01-02 19:00:00,23.02,255.15,529.8,55.25,330.2,2.14,44.65,97486.0
,,2022-01-02 20:00:00,21.46,58.4,216.89,20.0,324.4,1.79,49.45,97495.0
,,2022-01-02 21:00:00,19.41,0.0,0.0,0.0,316.4,1.17,57.3,97515.0
,,2022-01-02 22:00:00,18.02,0.0,0.0,0.0,311.45,0.69,63.3,97553.0
,,2022-01-02 23:00:00,17.53,0.0,0.0,0.0,309.6,0.34,65.7,97582.0
,,2022-01-03 00:00:00,17.16,0.0,0.0,0.0,309.2,0.14,67.55,97611.0
,,2022-01-03 01:00:00,16.8,0.0,0.0,0.0,309.0,0.34,69.3,97592.0
,,2022-01-03 02:00:00,16.42,0.0,0.0,0.0,307.4,0.62,71.05,97563.0
,,2022-01-03 03:00:00,15.63,0.0,0.0,0.0,307.0,0.9,74.45,97543.0
,,2022-01-03 04:00:00,14.31,0.0,0.0,0.0,302.2,1.31,79.45,97505.0
,,2022-01-03 05:00:00,13.98,0.0,0.0,0.0,302.2,1.38,79.65,97505.0
,,2022-01-03 06:00:00,13.91,0.0,0.0,0.0,303.0,1.38,77.8,97524.0
,,2022-01-03 07:00:00,14.16,51.64,0.0,51.64,303.8,1.31,74.05,97582.0
,,2022-01-03 08:00:00,17.24,325.55,1063.2,61.5,308.0,0.62,60.9,97640.0
,,2022-01-03 09:00:00,20.79,550.7,1062.92,76.3,316.4,1.03,45.15,97727.0
,,2022-01-03 10:00:00,22.61,757.35,1068.7,85.8,325.8,1.59,41.85,97717.0
,,2022-01-03 11:00:00,24.06,926.15,1066.18,92.25,333.4,2.0,39.45,97765.0
,,2022-01-03 12:00:00,25.32,1042.95,1055.44,96.1,340.4,2.34,37.2,97775.0
,,2022-01-03 13:00:00,26.41,1098.65,1037.07,97.4,346.2,2.62,34.95,97746.0
,,2022-01-03 14:00:00,27.18,1093.4,1014.26,96.85,349.6,2.83,33.0,97775.0
,,2022-01-03 15:00:00,27.54,1011.3,960.49,101.55,351.4,2.9,31.65,97756.0
,,2022-01-03 16:00:00,26.43,867.65,886.89,103.35,349.8,2.97,35.55,97756.0
,,2022-01-03 17:00:00,25.77,679.5,788.55,102.15,346.8,2.76,36.85,97678.0
,,2022-01-03 18:00:00,24.93,466.95,673.69,84.85,342.8,2.34,38.95,97669.0
,,2022-01-03 19:00:00,23.8,246.25,494.78,59.2,339.2,2.0,42.0,97592.0
,,2022-01-03 20:00:00,22.15,56.0,200.08,20.45,332.6,1.59,46.95,97553.0
,,2022-01-03 21:00:00,20.15,0.0,0.0,0.0,327.0,1.03,54.1,97582.0
,,2022-01-03 22:00:00,18.63,0.0,0.0,0.0,324.25,0.34,59.9,97592.0
,,2022-01-03 23:00:00,18.33,0.0,0.0,0.0,323.4,0.55,61.0,97592.0
,,2022-01-04 00:00:00,18.2,0.0,0.0,0.0,325.2,0.69,61.2,97601.0
,,2022-01-04 01:00:00,17.98,0.0,0.0,0.0,323.6,0.62,61.7,97572.0
,,2022-01-04 02:00:00,18.1,0.0,0.0,0.0,324.2,0.55,60.8,97563.0
,,2022-01-04 03:00:00,17.92,0.0,0.0,0.0,325.8,0.48,61.25,97534.0
,,2022-01-04 04:00:00,15.69,0.0,0.0,0.0,324.4,0.9,74.1,97534.0
,,2022-01-04 05:00:00,15.35,0.0,0.0,0.0,324.4,1.03,76.2,97524.0
,,2022-01-04 06:00:00,15.21,0.0,0.0,0.0,325.2,1.1,77.2,97543.0
,,2022-01-04 07:00:00,15.22,43.01,0.0,43.01,323.2,1.03,77.65,97524.0
,,2022-01-04 08:00:00,17.73,293.1,842.61,85.8,326.8,0.69,66.15,97611.0
,,2022-01-04 09:00:00,20.43,509.65,868.08,124.05,333.4,0.97,54.85,97659.0
,,2022-01-04 10:00:00,22.53,700.0,855.47,164.0,342.2,1.45,49.25,97669.0
,,2022-01-04 11:00:00,24.26,862.35,859.9,191.05,348.4,1.86,44.55,97678.0
,,2022-01-04 12:00:00,25.68,1000.65,918.25,177.85,354.6,2.21,40.8,97669.0
,,2022-01-04 13:00:00,26.77,1043.7,881.16,193.55,362.4,2.48,38.0,97678.0
,,2022-01-04 14:00:00,27.44,1041.2,891.9,165.1,364.4,2.83,36.3,97659.0
,,2022-01-04 15:00:00,27.62,957.6,810.75,189.6,363.0,2.97,35.7,97640.0
,,2022-01-04 16:00:00,26.6,846.0,796.09,159.65,357.6,2.9,38.3,97630.0
,,2022-01-04 17:00:00,25.86,644.45,666.27,156.25,353.2,2.69,40.3,97611.0
,,2022-01-04 18:00:00,24.69,423.45,527.25,124.05,351.4,2.48,43.45,97611.0
,,2022-01-04 19:00:00,23.19,217.25,376.4,74.7,346.6,2.0,47.95,97524.0
,,2022-01-04 20:00:00,21.39,48.5,141.11,23.35,342.8,1.59,54.15,97553.0
,,2022-01-04 21:00:00,19.46,0.0,0.0,0.0,335.2,1.1,62.0,97592.0
,,2022-01-04 22:00:00,18.23,0.0,0.0,0.0,328.45,0.55,67.55,97611.0
,,2022-01-04 23:00:00,17.72,0.0,0.0,0.0,328.4,0.14,70.1,97630.0
,,2022-01-05 00:00:00,17.4,0.0,0.0,0.0,326.0,0.14,71.45,97650.0
,,2022-01-05 01:00:00,17.18,0.0,0.0,0.0,325.0,0.34,72.4,97650.0
,,2022-01-05 02:00:00,17.06,0.0,0.0,0.0,322.2,0.41,72.5,97601.0
,,2022-01-05 03:00:00,16.96,0.0,0.0,0.0,320.6,0.34,72.65,97582.0
,,2022-01-05 04:00:00,15.25,0.0,0.0,0.0,315.0,0.83,84.1,97553.0
,,2022-01-05 05:00:00,14.9,0.0,0.0,0.0,318.6,1.24,86.75,97582.0
,,2022-01-05 06:00:00,14.44,0.0,0.0,0.0,317.4,1.1,90.2,97630.0
,,2022-01-05 07:00:00,14.3,39.45,0.0,39.45,320.6,0.97,91.35,97659.0
,,2022-01-05 08:00:00,16.68,283.25,773.49,94.8,320.4,0.69,75.1,97688.0
,,2022-01-05 09:00:00,19.77,488.6,796.77,136.4,321.4,0.21,55.9,97707.0
,,2022-01-05 10:00:00,21.86,655.05,789.26,162.0,329.6,1.66,48.7,97736.0
,,2022-01-05 11:00:00,22.59,829.5,807.32,200.45,346.4,2.55,48.45,97756.0
,,2022-01-05 12:00:00,22.86,967.85,847.47,209.4,346.2,2.97,49.35,97765.0
,,2022-01-05 13:00:00,23.42,1023.05,841.38,211.85,351.0,2.97,48.4,97785.0
